
2025/02/03 (08:41:59) | ===> btop++ v.1.4.0
2025/02/03 (08:41:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (08:42:17) | ===> btop++ v.1.4.0
2025/02/03 (08:42:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (16:09:05) | ===> btop++ v.1.4.0
2025/02/13 (16:09:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/20 (11:10:19) | ===> btop++ v.1.4.0
2025/02/20 (11:10:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/20 (14:59:00) | ===> btop++ v.1.4.0
2025/02/20 (14:59:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (10:15:12) | ===> btop++ v.1.4.0
2025/02/21 (10:15:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (10:59:36) | ===> btop++ v.1.4.0
2025/02/21 (10:59:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (11:24:14) | ===> btop++ v.1.4.0
2025/02/24 (11:24:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (15:26:14) | ===> btop++ v.1.4.0
2025/02/24 (15:26:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (15:43:36) | ===> btop++ v.1.4.0
2025/02/24 (15:43:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (15:44:18) | ===> btop++ v.1.4.0
2025/02/24 (15:44:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (08:19:50) | ===> btop++ v.1.4.0
2025/02/25 (08:19:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (10:31:28) | ===> btop++ v.1.4.0
2025/02/25 (10:31:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (10:33:22) | ===> btop++ v.1.4.0
2025/02/25 (10:33:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (16:08:55) | ===> btop++ v.1.4.0
2025/02/25 (16:08:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (08:18:04) | ===> btop++ v.1.4.0
2025/02/26 (08:18:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (00:23:07) | ===> btop++ v.1.4.0
2025/03/04 (00:23:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (16:09:02) | ===> btop++ v.1.4.0
2025/03/11 (16:09:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (13:10:53) | ===> btop++ v.1.4.0
2025/03/16 (13:10:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (20:35:55) | ===> btop++ v.1.4.0
2025/03/17 (20:35:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (14:33:59) | ===> btop++ v.1.4.0
2025/03/18 (14:33:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (14:34:10) | ===> btop++ v.1.4.0
2025/03/18 (14:34:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (13:27:14) | ===> btop++ v.1.4.0
2025/03/22 (13:27:14) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/22 (13:39:24) | WARNING: Failed to join _runner thread on exit!

2025/03/25 (13:48:19) | ===> btop++ v.1.4.0
2025/03/25 (13:48:19) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/25 (13:48:21) | WARNING: Failed to join _runner thread on exit!
